#{"t_start": 1553770301.462264, "env_id": "Snake-v0"}
r,l,t
-10.1,2,836.181697
0.7,173,838.26536
0.6,1058,854.861325
10.1,36,855.034091
-10.4,33,856.593209
-10.0,83,856.965942
1.2,402,865.117584
-10,1,865.123529
-10.0,87,865.494288
-9.7,24,865.592547
11.1,24,867.489652
32.2,101,867.925044
11.7,150,871.590692
-11.0,319,875.881516
22.5,123,878.512459
-10.3,384,885.451253
-10.0,29,885.574209
-0.1,263,889.547008
-10.5,498,897.770632
-10.0,17,897.842216
0.3,19,897.941853
31.4,93,899.899672
-9.8,41,901.48679
-10.3,340,905.748755
0.5,107,907.618016
31.3,884,921.562749
-10.1,70,921.923961
0.7,537,931.499056
0.6,16,931.565646
-10.2,2701,973.594918
-10.0,281,977.9402
21.7,79,979.625093
-10,1,979.62939
32.9,104,981.499758
-9.7,484,987.776598
-9.8,173,991.384974
-9.7,20,991.473047
31.6,193,993.708146
33.4,531,1001.661213
21.1,167,1005.220366
42.8,588,1013.4386
-0.1,101,1015.257695
-10,1,1015.261977
31.8,695,1026.727311
-10.1,2,1026.73596
11.0,47,1026.97429
-9.6,53,1027.227154
-10,1,1027.233651
9.3,100,1029.046781
-10.3,302,1034.683446
0.7,361,1039.135036
-9.7,624,1049.025622
11.8,659,1059.175654
30.4,503,1067.065108
-10.1,2,1067.073529
-10.2,3,1067.085949
-10.3,4,1067.101951
34.3,300,1072.680626
-9.7,4,1072.696512
12.3,1446,1096.616181
-10.2,5,1096.635629
-9.9,2,1096.644269
-10.7,8,1096.67523
-9.1,40,1096.832916
21.0,382,1102.533768
-10.4,5,1102.554657
-10.1,2,1103.913942
32.3,194,1106.040986
11.3,304,1109.958084
0.9,651,1119.274134
-10,1,1119.278941
-10.0,5,1120.654401
11.1,54,1120.869219
-10.3,310,1124.808995
0.8,86,1126.510798
-10.3,74,1128.15815
-9.5,18,1128.234054
-0.4,22,1128.324586
-9.0,17,1128.393441
-10.1,4,1128.41058
0.4,20,1128.494824
-10.5,10,1128.53682
32.7,56,1130.149238
-9.9,16,1130.213046
-9.9,10,1130.253061
-10.1,4,1130.270677
10.9,254,1134.052361
-9.8,35,1134.193864
-9.4,107,1135.990897
-10.1,18,1136.065944
43.7,755,1147.316331
-10.7,30,1147.439657
53.1,146,1150.745954
32.3,272,1154.650584
-9.6,45,1154.818205
11.4,125,1156.685833
-9.2,21,1156.772036
-9.6,33,1156.905832
10.8,191,1160.382754
32.7,272,1164.203228
10.5,80,1165.892812
-10.1,2,1165.900861
-10.1,10,1165.940531
33.3,182,1168.020557
-9.0,1845,1195.816972
0.0,386,1201.476335
-10.5,152,1203.475871
31.2,447,1209.369373
33.2,165,1212.714155
-9.5,2056,1242.747096
21.6,60,1243.039022
0.7,209,1246.588108
-10.7,90,1246.945686
-9.8,29,1248.45116
-10.0,3,1248.463642
-10,1,1248.467904
-0.3,23,1248.560962
22.3,89,1250.301921
-10.1,416,1256.033757
-10.8,59,1256.265699
2.3,871,1269.277737
-10.1,2,1269.28629
0.7,29,1269.404964
0.7,25,1269.526075
21.2,68,1271.21106
-9.8,239,1274.871486
0.2,284,1278.73192
-10.1,2,1278.739776
-11.1,24,1278.835773
0.3,25,1280.295637
1.1,61,1280.5484
21.1,357,1286.098874
41.9,279,1289.937469
-10.1,2,1289.947553
10.7,494,1297.273998
22.3,137,1299.151998
11.7,86,1300.849226
1.1,443,1306.697299
